Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 cronía ,Total,13.0,0.0,4.0,0.0,1.0,1.0
 cronía ,singular ,13.0,0.0,4.0,0.0,1.0,1.0
 cultor ,Total,68.0,3.0,5.0,1.0,0.9577464788732394,0.8333333333333334
 cultor ,plural ,0.0,3.0,0.0,1.0,0.0,0.0
 cultor ,singular ,68.0,0.0,5.0,0.0,1.0,1.0
 cultura ,Total,193.0,3313.0,10.0,7.0,0.055048488305761555,0.5882352941176471
 cultura ,singular ,193.0,3313.0,10.0,7.0,0.055048488305761555,0.5882352941176471
 da ,Total,11420.0,18088.0,446.0,361.0,0.38701369120238577,0.5526641883519207
 da ,plural ,10608.0,3848.0,438.0,162.0,0.7338129496402878,0.73
 da ,singular ,812.0,14240.0,8.0,199.0,0.0539463194259899,0.03864734299516908
 dad ,Total,41872.0,2446.0,897.0,11.0,0.9448079786993998,0.987885462555066
 dad ,plural ,25.0,0.0,19.0,0.0,1.0,1.0
 dad ,singular ,41847.0,2446.0,878.0,11.0,0.9447768270381325,0.9876265466816648
 demia ,Total,39.0,124.0,3.0,2.0,0.2392638036809816,0.6
 demia ,singular ,39.0,124.0,3.0,2.0,0.2392638036809816,0.6
 dera ,Total,131.0,1795.0,35.0,27.0,0.0680166147455867,0.5645161290322581
 dera ,plural ,55.0,191.0,11.0,8.0,0.22357723577235772,0.5789473684210527
 dera ,singular ,76.0,1604.0,24.0,19.0,0.04523809523809524,0.5581395348837209
 dermia ,Total,1.0,0.0,1.0,0.0,1.0,1.0
 dermia ,singular ,1.0,0.0,1.0,0.0,1.0,1.0
 dero ,Total,274.0,463.0,53.0,36.0,0.37177747625508817,0.5955056179775281
 dero ,plural ,10.0,75.0,8.0,12.0,0.11764705882352941,0.4
 dero ,singular ,264.0,388.0,45.0,24.0,0.4049079754601227,0.6521739130434783
 dinamo ,Total,0.0,3.0,0.0,1.0,0.0,0.0
 dinamo ,singular ,0.0,3.0,0.0,1.0,0.0,0.0
 do ,Total,17849.0,76215.0,550.0,563.0,0.18975378465725465,0.4941599281221923
 do ,plural ,16735.0,11221.0,534.0,397.0,0.5986192588353126,0.5735767991407089
 do ,singular ,1114.0,64994.0,16.0,166.0,0.016851213166333878,0.08791208791208792
 dor ,Total,7416.0,1531.0,735.0,61.0,0.8288811892254387,0.9233668341708543
 dor ,plural ,183.0,12.0,124.0,4.0,0.9384615384615385,0.96875
 dor ,singular ,7233.0,1519.0,611.0,57.0,0.8264396709323584,0.9146706586826348
 dora ,Total,1239.0,270.0,300.0,41.0,0.8210735586481114,0.8797653958944281
 dora ,plural ,57.0,12.0,40.0,5.0,0.8260869565217391,0.8888888888888888
 dora ,singular ,1182.0,258.0,260.0,36.0,0.8208333333333333,0.8783783783783784
 doxia ,Total,19.0,0.0,2.0,0.0,1.0,1.0
